Threshold,AUC
0.319,-0.982213
0.32,-0.982213
0.321,-0.982213
0.322,-0.982213
0.323,-0.982213
0.324,-0.982213
0.325,-0.982213
0.326,-0.982213
0.327,-0.982213
0.328,-0.982213
0.329,-0.982213
0.33,-0.982213
0.331,-0.982213
0.332,-0.982213
0.333,-0.982213
0.334,-0.982213
0.335,-0.982213
0.336,-0.982213
0.337,-0.982213
0.338,-0.982213
0.339,-0.982213
0.34,-0.982213
0.341,-0.982213
0.342,-0.982213
0.343,-0.982213
0.344,-0.982213
0.345,-0.982213
0.346,-0.982213
0.347,-0.982213
0.348,-0.982213
0.349,-0.982213
0.35,-0.982213
0.351,-0.982213
0.352,-0.982213
0.353,-0.982213
0.354,-0.982213
0.355,-0.982213
0.356,-0.982213
0.357,-0.982213
0.358,-0.982213
0.359,-0.982213
0.36,-0.982213
0.361,-0.982213
0.362,-0.982213
0.363,-0.982213
0.364,-0.982213
0.365,-0.982213
0.366,-0.982213
0.367,-0.982213
0.368,-0.982213
0.369,-0.982213
0.37,-0.982213
0.371,-0.982213
0.372,-0.982213
0.373,-0.982213
0.374,-0.982213
0.375,-0.982213
0.376,-0.982213
0.377,-0.982213
0.378,-0.982213
0.379,-0.982213
0.38,-0.982213
0.381,-0.982213
0.382,-0.982213
0.383,-0.982213
0.384,-0.982213
0.385,-0.982213
0.386,-0.982213
0.387,-0.982213
0.388,-0.982213
0.389,-0.982213
0.39,-0.982213
0.391,-0.982213
0.392,-0.982213
0.393,-0.982213
0.394,-0.982213
0.395,-0.982213
0.396,-0.982213
0.397,-0.982213
0.398,-0.982213
0.399,-0.982213
0.4,-0.982213
0.401,-0.982213
0.402,-0.982213
0.403,-0.982213
0.404,-0.982213
0.405,-0.982213
0.406,-0.982213
0.407,-0.982213
0.408,-0.982213
0.409,-0.982213
0.41,-0.982213
0.411,-0.982213
0.412,-0.982213
0.413,-0.982213
0.414,-0.982213
0.415,-0.982213
0.416,-0.982213
0.417,-0.982213
0.418,-0.982213
0.419,-0.982213
0.42,-0.982213
0.421,-0.982213
0.422,-0.982213
0.423,-0.982213
0.424,-0.982213
0.425,-0.982213
0.426,-0.982213
0.427,-0.982213
0.428,-0.982213
0.429,-0.982213
0.43,-0.982213
0.431,-0.982213
0.432,-0.982213
0.433,-0.982213
0.434,-0.982213
0.435,-0.982213
0.436,-0.982213
0.437,-0.982213
0.438,-0.982213
0.439,-0.982213
0.44,-0.982213
0.441,-0.982213
0.442,-0.982213
0.443,-0.982213
0.444,-0.982213
0.445,-0.982213
0.446,-0.982213
0.447,-0.982213
0.448,-0.982213
0.449,-0.982213
0.45,-0.982213
0.451,-0.982213
0.452,-0.982213
0.453,-0.982213
0.454,-0.982213
0.455,-0.982213
0.456,-0.982213
0.457,-0.982213
0.458,-0.982213
0.459,-0.982213
0.46,-0.982213
0.461,-0.982213
0.462,-0.982213
0.463,-0.982213
0.464,-0.982213
0.465,-0.982213
0.466,-0.982213
0.467,-0.982213
0.468,-0.982213
0.469,-0.982213
0.47,-0.982213
0.471,-0.982213
0.472,-0.982213
0.473,-0.982213
0.474,-0.982213
0.475,-0.982213
0.476,-0.982213
0.477,-0.982213
0.478,-0.982213
0.479,-0.982213
0.48,-0.982213
0.481,-0.982213
0.482,-0.982213
0.483,-0.982213
0.484,-0.982213
0.485,-0.982213
0.486,-0.982213
0.487,-0.982213
0.488,-0.982213
0.489,-0.982213
0.49,-0.982213
0.491,-0.982213
0.492,-0.982213
0.493,-0.982213
0.494,-0.982213
0.495,-0.982213
0.496,-0.982213
0.497,-0.982213
0.498,-0.982213
0.499,-0.982213
0.5,-0.982213
0.501,-0.982213
0.502,-0.982213
0.503,-0.982213
0.504,-0.982213
0.505,-0.982213
0.506,-0.982213
0.507,-0.982213
0.508,-0.982213
0.509,-0.982213
0.51,-0.982213
0.511,-0.982213
0.512,-0.982213
0.513,-0.982213
0.514,-0.982213
0.515,-0.982213
0.516,-0.982213
0.517,-0.982213
0.518,-0.982213
0.519,-0.982213
0.52,-0.982213
0.521,-0.982213
0.522,-0.982213
0.523,-0.982213
0.524,-0.982213
0.525,-0.982213
0.526,-0.982213
0.527,-0.982213
0.528,-0.982213
0.529,-0.982213
0.53,-0.982213
0.531,-0.982213
0.532,-0.982213
0.533,-0.982213
0.534,-0.982213
0.535,-0.982213
0.536,-0.982213
0.537,-0.982213
0.538,-0.982213
0.539,-0.982213
0.54,-0.982213
0.541,-0.982213
0.542,-0.982213
0.543,-0.982213
0.544,-0.982213
0.545,-0.982213
0.546,-0.982213
0.547,-0.982213
0.548,-0.982213
0.549,-0.982213
0.55,-0.982213
0.551,-0.982213
0.552,-0.982213
0.553,-0.982213
0.554,-0.982213
0.555,-0.982213
0.556,-0.982213
0.557,-0.982213
0.558,-0.982213
0.559,-0.982213
0.56,-0.982213
0.561,-0.982213
0.562,-0.982213
0.563,-0.982213
0.564,-0.982213
0.565,-0.982213
0.566,-0.982213
0.567,-0.982213
0.568,-0.982213
0.569,-0.982213
0.57,-0.982213
