Accuracy,Sensitivity,Specificity,AUC,TP,FP,TN,FN
0.911007,0.96729,0.85446,0.910875,207,31,182,7
0.93911,0.990291,0.891403,0.940847,204,24,197,2
0.932084,0.908654,0.954338,0.931496,189,10,209,19
0.93911,0.977273,0.898551,0.937912,215,21,186,5
0.936768,0.928571,0.9447,0.936636,195,12,205,15
0.95082,0.963303,0.937799,0.950551,210,13,196,8
0.95082,0.965686,0.93722,0.951453,197,14,209,7
0.929742,0.899543,0.961538,0.930541,197,8,200,22
0.936768,0.985507,0.890909,0.938208,204,24,196,3
0.906323,0.961905,0.852535,0.90722,202,32,185,8
0.929742,0.910314,0.95098,0.930647,203,10,194,20
0.964871,0.967442,0.962264,0.964853,208,8,204,7
0.953162,0.956311,0.950226,0.953268,197,11,210,9
0.962529,0.968889,0.955446,0.962167,218,9,193,7
0.948478,0.950495,0.946667,0.948581,192,12,213,10
0.9274,0.952381,0.903226,0.927803,200,21,196,10
0.936768,0.970874,0.904977,0.937926,200,21,200,6
0.95082,0.955224,0.946903,0.951063,192,12,214,9
0.953162,0.958904,0.947115,0.95301,210,11,197,9
0.948478,0.976526,0.920561,0.948543,208,17,197,5
0.918033,0.85446,0.981308,0.917884,182,4,210,31
0.925059,0.990431,0.862385,0.926408,207,30,188,2
0.925059,0.875598,0.972477,0.924038,183,6,212,26
0.934426,0.948837,0.919811,0.934324,204,17,195,11
0.943794,0.918269,0.968037,0.943153,191,7,212,17
0.943794,0.938095,0.949309,0.943702,197,11,206,13
0.941452,0.949541,0.933014,0.941278,207,14,195,11
0.946136,0.925234,0.967136,0.946185,198,7,206,16
0.953162,0.943128,0.962963,0.953045,199,8,208,12
0.903981,0.856481,0.952607,0.904544,185,10,201,31
0.920375,0.981818,0.855072,0.918445,216,30,177,4
0.943794,0.936585,0.95045,0.943518,192,11,211,13
0.948478,0.962441,0.934579,0.94851,205,14,200,8
0.957845,0.975962,0.940639,0.9583,203,13,206,5
0.957845,0.945205,0.971154,0.95818,207,6,202,12
0.95082,0.966667,0.935484,0.951075,203,14,203,7
0.925059,0.902954,0.952632,0.927793,214,9,181,23
0.946136,0.966507,0.926606,0.946556,202,16,202,7
0.962529,0.971698,0.953488,0.962593,206,10,205,6
0.948478,0.927536,0.968182,0.947859,192,7,213,15
0.95082,0.95,0.951542,0.950771,190,11,216,10
0.948478,0.967742,0.928571,0.948157,210,15,195,7
0.941452,0.897196,0.985915,0.941556,192,3,210,22
0.962529,0.94359,0.978448,0.961019,184,5,227,11
0.948478,0.975728,0.923077,0.949403,201,17,204,5
0.934426,0.924171,0.944444,0.934308,195,12,204,16
0.9274,0.886792,0.967442,0.927117,188,7,208,24
0.946136,0.957547,0.934884,0.946215,203,14,201,9
0.948478,0.942029,0.954545,0.948287,195,10,210,12
0.957845,0.961864,0.95288,0.957372,227,9,182,9
0.941452,0.965517,0.919643,0.94258,196,18,206,7
0.960187,0.966507,0.954128,0.960318,202,10,208,7
0.943794,0.944954,0.942584,0.943769,206,12,197,12
0.915691,0.876106,0.960199,0.918153,198,8,193,28
0.831382,0.689189,0.985366,0.837278,153,3,202,69
0.887588,0.990698,0.783019,0.886858,213,46,166,2
0.932084,0.873832,0.99061,0.932221,187,2,211,27
0.960187,0.97549,0.946188,0.960839,199,12,211,5
0.925059,0.886364,0.966184,0.926274,195,7,200,25
0.936768,0.929577,0.943925,0.936751,198,12,202,15
0.953162,0.959641,0.946078,0.95286,214,11,193,9
0.964871,0.976415,0.953488,0.964952,207,10,205,5
0.948478,0.99061,0.906542,0.948576,211,20,194,2
0.922717,0.897436,0.953368,0.925402,210,9,184,24
0.936768,0.945,0.929515,0.937258,189,16,211,11
0.932084,0.919283,0.946078,0.93268,205,11,193,18
0.95082,0.971831,0.929907,0.950869,207,15,199,6
0.962529,0.964286,0.960591,0.962438,216,8,195,8
0.93911,0.962264,0.916279,0.939272,204,18,197,8
0.93911,0.917391,0.964467,0.940929,211,7,190,19
0.9274,0.967442,0.886792,0.927117,208,24,188,7
0.934426,0.986301,0.879808,0.933055,216,25,183,3
0.946136,0.958525,0.933333,0.945929,208,14,196,9
0.920375,0.976077,0.866972,0.921525,204,29,189,5
0.957845,0.953488,0.962264,0.957876,205,8,204,10
0.932084,0.897059,0.964126,0.930592,183,8,215,21
0.929742,0.877451,0.977578,0.927515,179,5,218,25
0.896956,0.995633,0.782828,0.889231,228,43,155,1
0.873536,0.995434,0.745192,0.870313,218,53,155,1
0.908665,0.84689,0.96789,0.90739,177,7,211,32
0.943794,0.954082,0.935065,0.944573,187,15,216,9
0.943794,0.909502,0.980583,0.945042,201,4,202,20
0.946136,0.942029,0.95,0.946014,195,11,209,12
0.920375,0.970443,0.875,0.922722,197,28,196,6
0.850117,0.726027,0.980769,0.853398,159,4,204,60
0.93911,0.911111,0.970297,0.940704,205,6,196,20
0.967213,0.945813,0.986607,0.96621,192,3,221,11
0.962529,0.949541,0.976077,0.962809,207,5,204,11
0.946136,0.929245,0.962791,0.946018,197,8,207,15
0.93911,0.90625,0.975369,0.94081,203,5,198,21
0.936768,0.908213,0.963636,0.935924,188,8,212,19
0.943794,0.949074,0.938389,0.943731,205,13,198,11
0.873536,0.995305,0.752336,0.873821,212,53,161,1
0.95082,0.970297,0.933333,0.951815,196,15,210,6
0.93911,0.964444,0.910891,0.937668,217,18,184,8
0.943794,0.921053,0.969849,0.945451,210,6,193,18
0.929742,0.957746,0.901869,0.929808,204,21,193,9
0.941452,0.969027,0.910448,0.939737,219,18,183,7
0.9274,0.980676,0.877273,0.928975,203,27,193,4
0.967213,0.965686,0.96861,0.967148,197,7,216,7
0.932084,0.964286,0.904762,0.934524,189,22,209,7
0.943794,0.985981,0.901408,0.943695,211,21,192,3
0.955504,0.971698,0.939535,0.955616,206,13,202,6
0.960187,0.97619,0.9447,0.960445,205,12,205,5
0.925059,0.944444,0.908297,0.926371,187,21,208,11
0.946136,0.95814,0.933962,0.946051,206,14,198,9
0.948478,0.985437,0.914027,0.949732,203,19,202,3
0.960187,0.953917,0.966667,0.960292,207,7,203,10
0.941452,0.958716,0.923445,0.94108,209,16,193,9
0.948478,0.934343,0.960699,0.947521,185,9,220,13
0.957845,0.933036,0.985222,0.959129,209,3,200,15
0.936768,0.968326,0.902913,0.935619,214,20,186,7
0.918033,0.869565,0.974619,0.922092,200,5,192,30
0.946136,0.956522,0.936364,0.946443,198,14,206,9
0.932084,0.95814,0.90566,0.9319,206,20,192,9
0.962529,0.956938,0.96789,0.962414,200,7,211,9
0.941452,0.952607,0.930556,0.941581,201,15,201,10
0.93911,0.953052,0.925234,0.939143,203,16,198,10
0.922717,0.953704,0.890995,0.922349,206,23,188,10
0.934426,0.968468,0.897561,0.933015,215,21,184,7
0.934426,0.909091,0.964286,0.936688,210,7,189,21
0.946136,0.951691,0.940909,0.9463,197,13,207,10
0.866511,0.995261,0.740741,0.868001,210,56,160,1
0.93911,0.891892,0.990244,0.941068,198,2,203,24
0.936768,0.971698,0.902326,0.937012,206,21,194,6
0.911007,0.858369,0.974227,0.916298,200,5,189,33
0.929742,0.911504,0.950249,0.930877,206,10,191,20
