编号,性别 男1女0,籍贯,身高(cm),体重(kg),鞋码,50米成绩,肺活量,喜欢颜色,喜欢运动,喜欢文学
651,1,四川,170.0,60.0,41.0,7.8,5000,黑,1.0,1.0
289,0,安徽,161.0,53.0,36.0,8.8,2800,蓝,1.0,0.0
99,1,贵州,167.0,59.0,42.0,6.9,3000,白,1.0,0.0
394,1,贵州贵阳,175.0,60.0,42.0,7.2,3600,蓝,1.0,0.0
878,1,河北,189.0,83.0,44.5,6.8,6100,黑色,1.0,1.0
547,1,安徽,173.0,62.0,40.0,7.2,4400,灰,1.0,0.0
447,1,浙江,175.0,60.0,42.5,7.9,4200,灰,0.0,0.0
1,1,湖北,163.0,51.0,41.0,7.5,2500,蓝,1.0,1.0
515,1,四川,173.0,51.0,38.0,8.3,3750,粉,1.0,0.0
699,0,广东,160.0,50.0,38.0,8,2700,白,1.0,1.0
473,0,云南,158.0,43.0,35.0,9.1,2800,黑,0.0,0.0
223,1,山东,174.0,70.0,41.0,7,6000,蓝,1.0,1.0
74,1,四川,167.0,60.0,41.0,7.6,4800,白,1.0,1.0
598,1,江西,170.0,62.0,42.0,7.1,4200,粉,1.0,1.0
631,1,湖北,174.0,67.0,42.0,7,4000,青,1.0,1.0
646,1,重庆,173.0,66.0,41.0,8.1,4500,灰,0.0,0.0
305,1,四川,179.0,80.0,43.0,8.8,5300,金,1.0,1.0
829,0,江西,164.0,52.0,37.0,9.2,2800,绿,1.0,1.0
474,1,贵州,168.0,60.0,41.0,7.6,4800,白,0.0,0.0
890,1,山东,170.0,70.0,42.0,7.8,3500,黑色,1.0,0.0
3,1,云南,182.0,68.0,45.0,7.8,4900,蓝,1.0,0.0
199,1,四川,165.0,60.0,40.0,6.8,3600,蓝,1.0,1.0
495,0,河北,162.0,46.0,37.0,8.3,2800,粉,1.0,1.0
868,1,浙江,181.0,74.0,42.5,8.2,3700,黑色,1.0,0.0
789,0,湖南,158.0,46.0,37.0,8.9,2800,绿,1.0,0.0
139,1,河南,179.0,70.0,43.0,7,5300,橙,1.0,1.0
233,1,黑龙江,179.0,100.0,45.0,7,5500,黑,1.0,1.0
558,1,江西,165.0,72.0,41.0,6.9,3600,红,1.0,1.0
565,0,山西,161.0,37.0,38.0,8.7,2800,灰,0.0,0.0
605,1,四川,178.0,75.0,42.0,7.2,4500,白,1.0,1.0
382,1,浙江温州,170.0,59.0,42.0,7,3000,紫，灰,1.0,0.0
669,0,黑龙江,172.0,65.0,39.0,9,3600,紫,1.0,1.0
208,0,河北,164.0,47.5,38.0,9,2800,紫,1.0,1.0
222,0,昆明,169.0,58.0,37.0,9.2,5000,黑,1.0,1.0
721,0,浙江,170.0,52.0,37.0,9,3700,橙,0.0,0.0
319,1,山东乳山,178.0,62.0,41.0,9,3200,蓝绿,0.0,1.0
155,1,江西,165.0,55.0,41.0,8,4400,橙,1.0,1.0
434,1,江西九江,171.0,64.0,40.0,7.9,5494,白、黑、淡蓝,1.0,0.0
760,0,江苏,170.0,60.0,39.0,8.5,3800,紫,1.0,1.0
741,0,福建,163.0,47.0,36.0,9.3,3100,蓝色,0.0,1.0
669,0,黑龙江,172.0,65.0,39.0,9,3600,紫,1.0,1.0
664,1,河北,184.0,85.0,44.0,6.8,3800,蓝,1.0,0.0
826,1,四川,178.0,75.0,42.0,7,4000,蓝,1.0,0.0
505,0,四川,160.0,56.0,37.0,10,2000,粉,1.0,0.0
665,1,云南,180.0,70.0,44.0,7,5000,红,1.0,0.0
148,0,四川,165.0,48.0,37.0,11,4400,白,1.0,1.0
860,0,山西,167.0,90.0,38.0,9,2500,黑色,1.0,0.0
278,1,湖北,180.0,78.0,43.0,7.3,4000,蓝,1.0,0.0
300,1,河南,183.0,72.0,44.0,7.3,4300,黑,1.0,0.0
559,1,山西,183.0,67.0,43.0,8.4,5100,黑,0.0,0.0
318,0,四川南充,163.0,60.0,37.0,13,2400,黄,0.0,0.0
520,1,四川,172.0,65.0,41.0,7.5,3600,白色,1.0,1.0
422,1,重庆,162.0,62.0,38.0,7.1,4000,黑色、蓝色,1.0,1.0
554,1,山西,176.0,62.5,42.0,6.8,4000,黑,1.0,
268,0,四川,165.0,50.0,38.0,9.8,3000,黄,1.0,0.0
98,1,浙江,171.0,63.0,41.0,6.9,3000,蓝,1.0,0.0
58,0,湖北,158.0,50.0,37.0,11,2500,黄,0.0,1.0
478,0,重庆,165.0,49.0,39.0,7.2,3100,白,1.0,1.0
140,1,甘肃,162.0,65.0,39.0,8,4500,黑,1.0,1.0
288,0,辽宁,159.0,53.0,38.0,9.1,3150,红,1.0,1.0
737,0,浙江,160.0,50.0,37.0,9,4000,粉红色,1.0,0.0
253,0,四川,164.0,44.0,37.0,10,3000,绿,0.0,0.0
861,1,福建,170.0,75.0,42.0,9,4300,蓝色,1.0,1.0
499,0,四川,165.0,50.0,38.0,9.1,2800,绿,0.0,0.0
341,1,陕西,180.0,60.0,42.0,7,4800,绿,1.0,1.0
668,1,山东,166.0,53.0,40.0,7.5,3000,蓝,0.0,1.0
142,1,江西,176.0,62.0,42.0,7,4600,白,0.0,1.0
309,1,河南,179.0,60.0,43.0,8,4000,蓝,0.0,0.0
446,0,江西,160.0,51.0,37.0,8.3,3200,白,1.0,1.0
463,1,广东,173.0,67.0,42.0,7,3900,黑,1.0,1.0
789,0,湖南,158.0,46.0,37.0,8.9,2800,绿,1.0,0.0
335,0,云南玉溪,167.0,49.0,38.0,10,2000,黄,0.0,0.0
825,1,四川,170.0,67.0,41.0,7.7,3750,黑,1.0,0.0
189,0,湖南,163.0,47.0,38.0,8,3000,蓝,1.0,1.0
327,1,江西宜春,167.0,47.0,42.0,10,3500,蓝,0.0,1.0
272,1,福建,174.0,74.0,42.0,7.2,4700,蓝,1.0,1.0
401,1,重庆奉节,168.0,48.0,39.0,7.2,3000,黑，蓝，白,0.0,1.0
414,1,河南信阳,171.0,63.0,41.0,8,5000,蓝,1.0,1.0
7,0,河南,160.0,46.0,38.0,9,2500,白,1.0,1.0
567,1,云南,168.0,60.0,40.0,8.4,3828,红,1.0,0.0
301,0,四川,160.0,48.0,37.0,8.7,4500,蓝,1.0,1.0
371,1,云南曲靖,176.0,64.0,41.0,7.6,5100,蓝，灰,1.0,1.0
880,0,浙江,173.0,66.0,38.0,8.9,3800,蓝色,0.0,1.0
283,0,陕西,170.0,65.0,38.0,9.4,3000,紫,1.0,1.0
680,1,陕西,176.0,60.0,42.0,7.1,4400,蓝,1.0,0.0
784,0,重庆,160.0,45.0,36.0,9.3,3000,浅蓝,1.0,1.0
254,0,湖北,160.0,43.0,36.0,8.9,2900,蓝,1.0,0.0
423,1,四川绵阳,170.0,57.0,41.0,7,3300,黑色。白色，灰色，蓝色,1.0,1.0
446,0,江西,160.0,51.0,37.0,8.3,3200,白,1.0,1.0
395,1,江西上饶,170.0,60.0,40.0,7,4000,黄,1.0,1.0
274,1,重庆,180.0,75.0,44.0,7.4,3300,粉,1.0,1.0
869,1,四川,183.0,60.0,43.0,8,4000,蓝色,0.0,0.0
719,0,湖北,163.0,55.0,38.0,9,3600,粉红色,0.0,0.0
425,1,河南周口,178.0,70.0,42.0,8,5000,紫色，蓝色，黄色,0.0,1.0
519,1,广东,170.0,55.0,42.0,7.8,3800,蓝,1.0,1.0
722,1,辽宁,178.0,90.0,43.0,7.5,5000,白,1.0,
187,0,陕西,159.0,52.5,37.0,8,3500,绿,1.0,0.0
650,1,四川,173.0,68.0,41.0,7.8,5000,黑,1.0,1.0
542,1,山东,175.0,67.5,42.5,7,4300,蓝,1.0,0.0
202,0,山东,158.0,50.0,36.0,9,3000,绿,1.0,1.0
856,0,河北,167.0,65.0,38.0,7.5,4500,蓝,1.0,0.0
183,0,四川,170.0,57.0,37.0,8,3500,黄,1.0,1.0
321,1,内蒙古呼市,181.0,80.0,42.0,8.5,4998,蓝,1.0,1.0
702,0,重庆,161.0,48.0,37.0,8,3800,黑,0.0,1.0
823,1,四川,169.0,68.0,39.0,7.8,4000,蓝,1.0,1.0
817,0,江西,163.0,50.0,37.0,9.8,2500,蓝,0.0,1.0
431,1,浙江台州,154.0,47.0,36.0,8.5,2800,紫色,0.0,1.0
52,1,四川,170.0,70.0,39.0,8.23,3200,蓝,1.0,0.0
33,1,河南,163.0,68.0,43.0,7.5,3800,黑,0.0,0.0
62,0,湖南,165.0,48.0,36.0,8,2500,红,1.0,1.0
755,0,湖南,170.0,60.0,38.0,9.6,3500,蓝色,1.0,1.0
912,0,湖南,155.0,44.0,37.0,9,3500,白色,1.0,1.0
184,1,湖南,173.0,72.5,42.5,6.3,4500,红,1.0,1.0
504,1,山西,183.0,90.0,44.0,8.7,5200,白,1.0,0.0
138,0,内蒙古,160.0,55.0,36.0,10,4500,黄,0.0,1.0
634,1,云南,177.0,73.0,42.0,7.4,5400,蓝,0.0,1.0
591,0,四川,163.0,50.0,35.0,8.3,3000,蓝,0.0,0.0
785,1,北京,198.0,82.0,49.0,6.2,5200,绿,1.0,0.0
727,1,山东,173.0,73.0,43.0,7.1,4200,蓝,1.0,1.0
333,1,四川达州,170.0,95.0,43.0,10,4200,蓝,1.0,1.0
593,0,广西,161.0,52.0,37.0,8.5,2500,绿,0.0,1.0
876,1,河南,179.0,65.0,42.5,8,4000,蓝色,1.0,0.0
546,1,重庆,172.0,75.0,43.0,7,3500,蓝,1.0,0.0
