Epoch,Loss
0,0.291459
1,0.286128
2,0.28127
3,0.276897
4,0.273005
5,0.269577
6,0.266585
7,0.263994
8,0.261766
9,0.259862
10,0.258243
11,0.256872
12,0.255716
13,0.254744
14,0.25393
15,0.253249
16,0.25268
17,0.252207
18,0.251813
19,0.251486
20,0.251214
21,0.250989
22,0.250802
23,0.250648
24,0.25052
25,0.250415
26,0.250327
27,0.250256
28,0.250196
29,0.250147
30,0.250107
31,0.250074
32,0.250046
33,0.250024
34,0.250005
35,0.24999
36,0.249978
37,0.249967
38,0.249959
39,0.249952
40,0.249946
41,0.249941
42,0.249938
43,0.249934
44,0.249931
45,0.249929
46,0.249927
47,0.249925
48,0.249923
49,0.249922
50,0.24992
51,0.249919
52,0.249917
53,0.249916
54,0.249914
55,0.249912
56,0.24991
57,0.249908
58,0.249905
59,0.249902
60,0.249899
61,0.249894
62,0.249889
63,0.249883
64,0.249875
65,0.249864
66,0.24985
67,0.24983
68,0.249801
69,0.249756
70,0.249681
71,0.249544
72,0.249266
73,0.248642
74,0.247479
75,0.245985
76,0.244387
77,0.242792
78,0.241254
79,0.239788
80,0.238394
81,0.237065
82,0.235793
83,0.234571
84,0.233392
85,0.23225
86,0.231142
87,0.230062
88,0.229008
89,0.227977
90,0.226966
91,0.225974
92,0.224998
93,0.224037
94,0.223091
95,0.222157
96,0.221235
97,0.220324
98,0.219423
99,0.218532
100,0.21765
101,0.216777
102,0.215912
103,0.215055
104,0.214206
105,0.213364
106,0.212529
107,0.211702
108,0.210881
109,0.210067
110,0.20926
111,0.208459
112,0.207664
113,0.206876
114,0.206094
115,0.205318
116,0.204548
117,0.203784
118,0.203026
119,0.202275
120,0.201529
121,0.200789
122,0.200054
123,0.199326
124,0.198604
125,0.197887
126,0.197176
127,0.19647
128,0.195771
129,0.195077
130,0.194388
131,0.193705
132,0.193028
133,0.192356
134,0.19169
135,0.191029
136,0.190374
137,0.189724
138,0.18908
139,0.188441
140,0.187807
141,0.187178
142,0.186555
143,0.185937
144,0.185324
145,0.184716
146,0.184113
147,0.183515
148,0.182923
149,0.182335
150,0.181752
151,0.181174
152,0.1806
153,0.180032
154,0.179468
155,0.178909
156,0.178354
157,0.177804
158,0.177258
159,0.176717
160,0.176181
161,0.175648
162,0.17512
163,0.174596
164,0.174076
165,0.173561
166,0.17305
167,0.172542
168,0.172039
169,0.171539
170,0.171044
171,0.170552
172,0.170064
173,0.16958
174,0.169099
175,0.168622
176,0.168149
177,0.167679
178,0.167212
179,0.166749
180,0.16629
181,0.165833
182,0.16538
183,0.164931
184,0.164484
185,0.164041
186,0.1636
187,0.163163
188,0.162729
189,0.162297
190,0.161869
191,0.161443
192,0.16102
193,0.1606
194,0.160183
195,0.159768
196,0.159356
197,0.158946
198,0.158539
199,0.158135
200,0.157733
201,0.157333
202,0.156936
203,0.15654
204,0.156148
205,0.155757
206,0.155368
207,0.154982
208,0.154597
209,0.154215
210,0.153835
211,0.153456
212,0.153079
213,0.152705
214,0.152331
215,0.15196
216,0.151591
217,0.151223
218,0.150856
219,0.150491
220,0.150128
221,0.149766
222,0.149405
223,0.149046
224,0.148688
225,0.148331
226,0.147975
227,0.147621
228,0.147267
229,0.146915
230,0.146563
231,0.146213
232,0.145863
233,0.145514
234,0.145166
235,0.144819
236,0.144472
237,0.144126
238,0.14378
239,0.143436
240,0.143092
241,0.142748
242,0.142405
