Kernel,Training_ID,Accuracy,Sensitivity,Specificity,AUC,TP,FP,TN,FN
linear,96.67307692307692,0.96875,0.9626556016597512,0.9748953974895398,0.9931721561746605,696.0,18.0,699.0,27.0
poly,97.13526570048309,0.9499999999999998,0.9764868603042876,0.9232914923291492,0.9904580027291245,706.0,55.0,662.0,17.0
rbf,97.13526570048309,0.9701388888888888,0.9640387275242048,0.9762900976290098,0.9947525480109455,697.0,17.0,700.0,26.0
