Accuracy,Sensitivity,Specificity,AUC,TP,FP,TN,FN
0.95,0.97648686,0.923291492,0.990482088,706,55,662,17
0.95,0.97648686,0.923291492,0.990468585,706,55,662,17
0.95,0.97648686,0.923291492,0.990455081,706,55,662,17
0.95,0.97648686,0.923291492,0.990361522,706,55,662,17
0.95,0.97648686,0.923291492,0.990389494,706,55,662,17
0.95,0.97648686,0.923291492,0.990479194,706,55,662,17
0.95,0.97648686,0.923291492,0.990436755,706,55,662,17
0.95,0.97648686,0.923291492,0.990519704,706,55,662,17
0.95,0.97648686,0.923291492,0.990555392,706,55,662,17
0.95,0.97648686,0.923291492,0.990458939,706,55,662,17
0.95,0.97648686,0.923291492,0.990519704,706,55,662,17
0.95,0.97648686,0.923291492,0.990457975,706,55,662,17
0.95,0.97648686,0.923291492,0.990388529,706,55,662,17
0.95,0.97648686,0.923291492,0.990348984,706,55,662,17
0.95,0.97648686,0.923291492,0.990361522,706,55,662,17
0.95,0.97648686,0.923291492,0.990641234,706,55,662,17
0.95,0.97648686,0.923291492,0.990480159,706,55,662,17
0.95,0.97648686,0.923291492,0.990521633,706,55,662,17
0.95,0.97648686,0.923291492,0.990507165,706,55,662,17
0.95,0.97648686,0.923291492,0.990240957,706,55,662,17
0.95,0.97648686,0.923291492,0.990542853,706,55,662,17
0.95,0.97648686,0.923291492,0.990524527,706,55,662,17
0.95,0.97648686,0.923291492,0.990540924,706,55,662,17
0.95,0.97648686,0.923291492,0.990507165,706,55,662,17
0.95,0.97648686,0.923291492,0.990499449,706,55,662,17
0.95,0.97648686,0.923291492,0.990503307,706,55,662,17
0.95,0.97648686,0.923291492,0.990389494,706,55,662,17
0.95,0.97648686,0.923291492,0.990383707,706,55,662,17
0.95,0.97648686,0.923291492,0.990468585,706,55,662,17
0.95,0.97648686,0.923291492,0.990492698,706,55,662,17
0.95,0.97648686,0.923291492,0.990461833,706,55,662,17
0.95,0.97648686,0.923291492,0.990520669,706,55,662,17
0.95,0.97648686,0.923291492,0.990440613,706,55,662,17
0.95,0.97648686,0.923291492,0.990510059,706,55,662,17
0.95,0.97648686,0.923291492,0.990436755,706,55,662,17
0.95,0.97648686,0.923291492,0.990447365,706,55,662,17
0.95,0.97648686,0.923291492,0.990561179,706,55,662,17
0.95,0.97648686,0.923291492,0.990535137,706,55,662,17
0.95,0.97648686,0.923291492,0.990419394,706,55,662,17
0.95,0.97648686,0.923291492,0.990504272,706,55,662,17
0.95,0.97648686,0.923291492,0.990430004,706,55,662,17
0.95,0.97648686,0.923291492,0.99045701,706,55,662,17
0.95,0.97648686,0.923291492,0.990379848,706,55,662,17
0.95,0.97648686,0.923291492,0.990306545,706,55,662,17
0.95,0.97648686,0.923291492,0.990573718,706,55,662,17
0.95,0.97648686,0.923291492,0.990369239,706,55,662,17
0.95,0.97648686,0.923291492,0.990517775,706,55,662,17
0.95,0.97648686,0.923291492,0.990520669,706,55,662,17
0.95,0.97648686,0.923291492,0.990411678,706,55,662,17
0.95,0.97648686,0.923291492,0.990474372,706,55,662,17
0.95,0.97648686,0.923291492,0.990509094,706,55,662,17
0.95,0.97648686,0.923291492,0.990459904,706,55,662,17
0.95,0.97648686,0.923291492,0.990377919,706,55,662,17
0.95,0.97648686,0.923291492,0.99037599,706,55,662,17
0.95,0.97648686,0.923291492,0.99027568,706,55,662,17
0.95,0.97648686,0.923291492,0.990586256,706,55,662,17
0.95,0.97648686,0.923291492,0.990539959,706,55,662,17
0.95,0.97648686,0.923291492,0.990510059,706,55,662,17
0.95,0.97648686,0.923291492,0.990495591,706,55,662,17
0.95,0.97648686,0.923291492,0.990452188,706,55,662,17
0.95,0.97648686,0.923291492,0.990376955,706,55,662,17
0.95,0.97648686,0.923291492,0.990406855,706,55,662,17
0.95,0.97648686,0.923291492,0.99040782,706,55,662,17
0.95,0.97648686,0.923291492,0.990498485,706,55,662,17
0.95,0.97648686,0.923291492,0.990475336,706,55,662,17
0.95,0.97648686,0.923291492,0.990428075,706,55,662,17
0.95,0.97648686,0.923291492,0.990371168,706,55,662,17
0.95,0.97648686,0.923291492,0.990487875,706,55,662,17
0.95,0.97648686,0.923291492,0.99061905,706,55,662,17
0.95,0.97648686,0.923291492,0.990540924,706,55,662,17
0.95,0.97648686,0.923291492,0.990428075,706,55,662,17
0.95,0.97648686,0.923291492,0.990532243,706,55,662,17
0.95,0.97648686,0.923291492,0.990483052,706,55,662,17
0.95,0.97648686,0.923291492,0.990457975,706,55,662,17
0.95,0.97648686,0.923291492,0.990603618,706,55,662,17
0.95,0.97648686,0.923291492,0.990404926,706,55,662,17
0.95,0.97648686,0.923291492,0.990607476,706,55,662,17
0.95,0.97648686,0.923291492,0.990433862,706,55,662,17
