Training_ID,Kernel,Accuracy,Sensitivity,Specificity,AUC,TP,FP,TN,FN
1,linear,0.96875,0.9626556016597511,0.9748953974895398,0.9931557453736658,696,18,699,27
1,poly,0.95,0.9764868603042877,0.9232914923291492,0.9905139171011843,706,55,662,17
1,rbf,0.9701388888888889,0.9640387275242047,0.9762900976290098,0.994787718150971,697,17,700,26
2,linear,0.96875,0.9626556016597511,0.9748953974895398,0.9931499582361576,696,18,699,27
2,poly,0.95,0.9764868603042877,0.9232914923291492,0.9905312785137088,706,55,662,17
2,rbf,0.9701388888888889,0.9640387275242047,0.9762900976290098,0.9947491372342498,697,17,700,26
3,linear,0.96875,0.9626556016597511,0.9748953974895398,0.9932271200695999,696,18,699,27
3,poly,0.95,0.9764868603042877,0.9232914923291492,0.9905920434575445,706,55,662,17
3,rbf,0.9701388888888889,0.9640387275242047,0.9762900976290098,0.9946970529966762,697,17,700,26
4,linear,0.96875,0.9626556016597511,0.9748953974895398,0.9931210225486168,696,18,699,27
4,poly,0.95,0.9764868603042877,0.9232914923291492,0.9903721322322341,706,55,662,17
4,rbf,0.9701388888888889,0.9640387275242047,0.9762900976290098,0.9948089376551676,697,17,700,26
5,linear,0.96875,0.9626556016597511,0.9748953974895398,0.9931904681987147,696,18,699,27
5,poly,0.95,0.9764868603042877,0.9232914923291492,0.9903171544259064,706,55,662,17
5,rbf,0.9701388888888889,0.9640387275242047,0.9762900976290098,0.9947954343343152,697,17,700,26
6,linear,0.96875,0.9626556016597511,0.9748953974895398,0.9933062109488784,696,18,699,27
6,poly,0.95,0.9764868603042877,0.9232914923291492,0.9903586289113816,706,55,662,17
6,rbf,0.9701388888888889,0.9640387275242047,0.9762900976290098,0.994725988684217,697,17,700,26
7,linear,0.96875,0.9626556016597511,0.9748953974895398,0.993192397244551,696,18,699,27
7,poly,0.95,0.9764868603042877,0.9232914923291492,0.9905148816241023,706,55,662,17
7,rbf,0.9701388888888889,0.9640387275242047,0.9762900976290098,0.9946700463549716,697,17,700,26
8,linear,0.96875,0.9626556016597511,0.9748953974895398,0.9931769648778623,696,18,699,27
8,poly,0.95,0.9764868603042877,0.9232914923291492,0.990473407138627,706,55,662,17
8,rbf,0.9701388888888889,0.9640387275242047,0.9762900976290098,0.9948012214718235,697,17,700,26
9,linear,0.96875,0.9626556016597511,0.9748953974895398,0.9931634615570102,696,18,699,27
